moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Prometheusw75wJun 8, 2012w125000000.0w126477084.0w402448265
The Bourne Legacyw76wAug 10, 2012w125000000.0w113203870.0w280355920
Batman & Robinw77wJun 20, 1997w125000000.0w107325195.0w238317814
Skyscraperw78wJul 13, 2018w125000000.0w68420120.0w304115534
Total Recallw79wAug 3, 2012w125000000.0w58877969.0w211856088
Assassinâs Creedw80wDec 21, 2016w125000000.0w54647948.0w240759682
Monster Trucksw81wJan 13, 2017w125000000.0w33370166.0w61642798
The 13th Warriorw82wAug 27, 1999w125000000.0w32698899.0w61698899
"How the Grinch Stole Christmas"w83wNov 17, 2000w123000000.0w260044825.0w345141403
Mission: Impossible 2w84wMay 24, 2000w120000000.0w215409889.0w549588516
The Perfect Stormw85wJun 30, 2000w120000000.0w182618434.0w328711434
Jason Bournew86wJul 29, 2016w120000000.0w162192920.0w416168316
Fantastic Four: Rise of the Silver Surferw87wJun 15, 2007w120000000.0w131921738.0w289480691
Life of Piw88wNov 21, 2012w120000000.0w124987022.0w620912003
Ghost Riderw89wFeb 16, 2007w120000000.0w115802596.0w229545589
Rampagew90wApr 13, 2018w120000000.0w101028233.0w428056280
Charlie's Angels: Full Throttlew91wJun 27, 2003w120000000.0w100814328.0w227200000
Elysiumw92wAug 9, 2013w120000000.0w93050117.0w286192091
Oblivionw93wApr 19, 2013w120000000.0w89107235.0w287916633
"Power Rangers"w94wMar 24, 2017w120000000.0w85364450.0w142531552
Stuart Little 2w95wJul 19, 2002w120000000.0w64956806.0w166000000
RoboCopw96wFeb 12, 2014w120000000.0w58607007.0w242981799
The Chronicles of Riddickw97wJun 11, 2004w120000000.0w57712751.0w107212751
Fantastic Fourw98wAug 7, 2015w120000000.0w56117548.0w167849187
Speed Racerw99wMay 9, 2008w120000000.0w43945766.0w93394462
The Islandw100wJul 22, 2005w120000000.0w35818913.0w163018913
"How Do You Know?"w1wDec 17, 2010w120000000.0w30212620.0w49628177
Knight and Dayw2wJun 23, 2010w117000000.0w76423035.0w258751370
Venomw3wOct 5, 2018w116000000.0w213511408.0w853628605
Star Wars Ep. I: The Phantom Menacew4wMay 19, 1999w115000000.0w474544677.0w1027044677
Star Wars Ep. III: Revenge of the Sithw5wMay 19, 2005w115000000.0w380270577.0w848998877
Star Wars Ep. II: Attack of the Clonesw6wMay 16, 2002w115000000.0w310676740.0w656695615
Monsters, Inc.w7wNov 2, 2001w115000000.0w289423425.0w559757719
The Wolverinew8wJul 26, 2013w115000000.0w132556852.0w416456852
Dante's Peakw9wFeb 7, 1997w115000000.0w67163857.0w178200000
The Huntsman: Winterâs Warw10wApr 22, 2016w115000000.0w48003015.0w165149302
Windtalkersw11wJun 14, 2002w115000000.0w40914068.0w77628265
AstÃ©rix aux Jeux Olympiquesw12wJul 4, 2008w113500000.0w999811.0w132999811
Gulliver's Travelsw13wDec 25, 2010w112000000.0w42779261.0w232017848
Ferdinandw14wDec 15, 2017w111000000.0w84410380.0w289847930
Deadpool 2w15wMay 18, 2018w110000000.0w324591735.0w786680557
Gravityw16wOct 4, 2013w110000000.0w274092705.0w693698673
Night at the Museumw17wDec 22, 2006w110000000.0w250863268.0w579446407
Mr. and Mrs. Smithw18wJun 10, 2005w110000000.0w186336279.0w486124090
San Andreasw19wMay 29, 2015w110000000.0w155190832.0w456258539
The Smurfsw20wJul 29, 2011w110000000.0w142614158.0w563749323
Live Free or Die Hardw21wJun 27, 2007w110000000.0w134529403.0w382288147
The Divergent Series: Insurgentw22wMar 20, 2015w110000000.0w130179072.0w295075882
"Ocean's Twelve"w23wDec 10, 2004w110000000.0w125531634.0w362989076
"Tomorrow Never Dies"w24wDec 19, 1997w110000000.0w125304276.0w339504276
The Patriotw25wJun 28, 2000w110000000.0w113330342.0w215300000
300: Rise of an Empirew26wMar 7, 2014w110000000.0w106580051.0w330780051
The Aviatorw27wDec 17, 2004w110000000.0w102608827.0w208370892
Passengersw28wDec 21, 2016w110000000.0w100014699.0w302239672
The Green Hornetw29wJan 14, 2011w110000000.0w98780042.0w229155503
Miss Peregrineâs Home for Peculiar Childrenw30wSep 30, 2016w110000000.0w87242834.0w295986876
Real Steelw31wOct 7, 2011w110000000.0w85463309.0w263880341
The A-Teamw32wJun 11, 2010w110000000.0w77222099.0w177241171
The Smurfs 2w33wJul 31, 2013w110000000.0w71017784.0w348547523
The Divergent Series: Allegiantw34wMar 18, 2016w110000000.0w66184051.0w172022517
The Taking of Pelham 123w35wJun 12, 2009w110000000.0w65452312.0w152364370
Ender's Gamew36wNov 1, 2013w110000000.0w61737191.0w127983283
Home on the Rangew37wApr 2, 2004w110000000.0w50026353.0w76482461
Speed 2: Cruise Controlw38wJun 13, 1997w110000000.0w48097081.0w150468000
Kingdom of Heavenw39wMay 6, 2005w110000000.0w47398413.0w218853353
Ghost in the Shellw40wMar 31, 2017w110000000.0w40563557.0w167910690
Around the World in 80 Daysw41wJun 16, 2004w110000000.0w24004159.0w72004159
Men in Black: Internationalw42wJun 14, 2019w110000000.0w3100000.0w3100000
"The Lord of the Rings: The Fellowship of the Ring"w43wDec 19, 2001w109000000.0w315544750.0w887210985
The Cat in the Hatw44wNov 21, 2003w109000000.0w101018283.0w133818283
Aliw45wDec 25, 2001w109000000.0w58183966.0w87683966
The Martianw46wOct 2, 2015w108000000.0w228433663.0w655271443
Alliedw47wNov 23, 2016w106000000.0w40098064.0w119266661
I, Robotw48wJul 16, 2004w105000000.0w144801023.0w348629585
Stuart Littlew49wDec 17, 1999w105000000.0w140015224.0w298815224
The Princess and the Frogw50wNov 25, 2009w105000000.0w104400899.0w270997378
10,000 B.C.w51wMar 7, 2008w105000000.0w94784201.0w269065678
Ice Age: Collision Coursew52wJul 22, 2016w105000000.0w64063008.0w402156682
"Town & Country"w53wApr 27, 2001w105000000.0w6712451.0w10364769
Kingsman: The Golden Circlew54wSep 22, 2017w104000000.0w100234838.0w408803696
Gone in 60 Secondsw55wJun 9, 2000w103300000.0w101643008.0w232643008
Gladiatorw56wMay 5, 2000w103000000.0w187683805.0w457683805
The Hangover 3w57wMay 23, 2013w103000000.0w112200072.0w362000072
A Wrinkle in Timew58wMar 9, 2018w103000000.0w100478608.0w133401882
Public Enemiesw59wJul 1, 2009w102500000.0w97104620.0w212282709
Casino Royalew60wNov 17, 2006w102000000.0w167365000.0w594420283
Minority Reportw61wJun 21, 2002w102000000.0w132024714.0w358824714
Bumblebeew62wDec 21, 2018w102000000.0w127195589.0w465195589
Cloud Atlasw63wOct 26, 2012w102000000.0w27108272.0w130673154
Harry Potter and the Chamber of Secretsw64wNov 15, 2002w100000000.0w262233381.0w879225135
Terminator 2: Judgment Dayw65wJul 2, 1991w100000000.0w203464105.0w515419827
